"id";"name";"compilation_root";"dlc_root";"console";"original_console";"completion";"ownership";"achievements";"achievement_total";"rating";"multi_rating";"now_playing";"note";"multi_note";"review";"multi_comp_local";"multi_coop_local";"multi_comp_LAN";"multi_coop_LAN";"multi_comp_online";"multi_coop_online"
1;"Animal Crossing: amiibo Festival";0;0;37;0;0;0;0;0;2;0;0;"";"";"";4;0;0;0;0;0
2;"Call of Duty: Black Ops II";0;0;37;0;1;0;0;0;0;0;0;"";"";"";4;2;0;0;0;0
3;"Donkey Kong Country: Tropical Freeze";0;0;37;0;3;0;0;0;5;0;0;"";"";"";0;2;0;0;0;0
4;"Game & Wario";0;0;37;0;3;0;0;0;4;0;0;"";"";"";5;0;0;0;0;0
5;"Mario & Sonic at the Sochi 2014 Olympic Winter Games";0;0;37;0;3;0;0;0;3;0;0;"";"";"";4;0;0;0;0;0
6;"Mario Kart 8";0;0;37;0;3;0;0;0;5;0;0;"";"";"";4;2;0;0;0;0
7;"Mario Party 10";0;0;37;0;0;0;0;0;4;0;0;"";"";"";5;0;0;0;0;0
8;"Mario Tennis: Ultra Smash";0;0;37;0;0;0;0;0;4;0;0;"";"";"";4;2;0;0;0;0
9;"Monster Hunter 3 Ultimate";0;0;37;0;3;0;0;0;4;0;0;"";"";"";0;0;0;0;0;0
10;"New Super Mario Bros. U";0;0;37;0;3;0;0;0;5;0;0;"";"";"";4;5;0;0;0;0
11;"Nintendo Land";0;0;37;0;3;0;0;0;5;0;0;"";"";"";5;5;0;0;0;0
12;"Pikmin 3";0;0;37;0;4;0;0;0;5;0;0;"";"";"";2;2;0;0;0;0
13;"Rayman Legends";0;0;37;0;3;0;0;0;5;0;0;"";"";"";5;5;0;0;0;0
14;"Sonic & All-Stars Racing Transformed";0;0;37;0;2;0;0;0;0;0;0;"";"";"";5;0;0;0;0;0
15;"Super Mario 3D World";0;0;37;0;4;0;0;0;5;0;0;"";"";"";0;4;0;0;0;0
16;"Super Mario Maker";0;0;37;0;0;0;0;0;5;0;0;"";"";"";0;0;0;0;0;0
17;"Super Smash Bros. for Wii U";0;0;37;0;2;0;0;0;5;0;0;"";"";"";8;4;0;0;0;0
18;"Wii Party U";0;0;37;0;0;0;0;0;5;0;0;"";"";"";4;4;0;0;0;0
19;"The Wonderful 101";0;0;37;0;2;0;0;0;5;0;0;"";"";"";0;5;0;0;0;0
20;"ZombiU";0;0;37;0;2;0;0;0;5;0;0;"";"";"";2;0;0;0;0;0
21;"Affordable Space Adventures";0;0;2;0;2;0;0;0;0;0;0;"";"";"";0;3;0;0;0;0
22;"Art of Balance";0;0;2;0;3;0;0;0;4;0;0;"";"";"";5;0;0;0;0;0
23;"Chasing Aurora";0;0;2;0;0;0;0;0;3;0;0;"";"";"";5;0;0;0;0;0
24;"Fast Racing Neo";0;0;2;0;3;0;0;0;4;0;0;"";"";"";4;0;0;0;0;0
25;"Runbow";0;0;2;0;3;0;0;0;4;0;0;"";"";"";9;0;0;0;0;0
26;"Shantae and the Pirate's Curse";0;0;2;0;3;0;0;0;5;0;0;"";"";"";0;0;0;0;0;0
27;"Sportsball";0;0;2;0;0;0;0;0;3;0;0;"";"";"";4;0;0;0;0;0
28;"Toki Tori 2+";0;0;2;0;3;0;0;0;4;0;0;"";"";"";0;0;0;0;0;0
29;"EarthBound";0;0;3;20;3;0;0;0;5;0;0;"";"";"";0;0;0;0;0;0
30;"Super Metroid";0;0;3;20;3;0;0;0;5;0;0;"";"";"";0;0;0;0;0;0
31;"Assassin's Creed";0;0;38;0;3;0;36;44;3;0;0;"";"";"";0;0;0;0;0;0
32;"Assassin's Creed II";0;0;38;0;3;0;47;50;5;0;0;"";"";"";0;0;0;0;0;0
