id,name,compilation_root,dlc_root,console,original_console,completion,ownership,achievements,achievements_total,rating,multi_rating,now_playing,note,multi_note,review,multi_comp_local,multi_coop_local,multi_comp_LAN,multi_coop_LAN,multi_comp_online,multi_coop_online
,Animal Crossing: amiibo Festival,,,37,,0,,,,2,,,,,,4,,,,,
,Call of Duty: Black Ops II,,,37,,1,,,,0,,,,,,4,2,,,,
,Donkey Kong Country: Tropical Freeze,,,37,,3,,,,5,,,,,,,2,,,,
,Game & Wario,,,37,,3,,,,4,,,,,,5,,,,,
,Mario & Sonic at the Sochi 2014 Olympic Winter Games,,,37,,3,,,,3,,,,,,4,,,,,
,Mario Kart 8,,,37,,3,,,,5,,,,,,4,2,,,,
,Mario Party 10,,,37,,0,,,,4,,,,,,5,,,,,
,Mario Tennis: Ultra Smash,,,37,,0,,,,4,,,,,,4,2,,,,
,Monster Hunter 3 Ultimate,,,37,,3,,,,4,,,,,,,,,,,
,New Super Mario Bros. U,,,37,,3,,,,5,,,,,,4,5,,,,
,Nintendo Land,,,37,,3,,,,5,,,,,,5,5,,,,
,Pikmin 3,,,37,,4,,,,5,,,,,,2,2,,,,
,Rayman Legends,,,37,,3,,,,5,,,,,,5,5,,,,
,Sonic & All-Stars Racing Transformed,,,37,,2,,,,0,,,,,,5,,,,,
,Super Mario 3D World,,,37,,4,,,,5,,,,,,,4,,,,
,Super Mario Maker,,,37,,0,,,,5,,,,,,,,,,,
,Super Smash Bros. for Wii U,,,37,,2,,,,5,,,,,,8,4,,,,
,Wii Party U,,,37,,0,,,,5,,,,,,4,4,,,,
,The Wonderful 101,,,37,,2,,,,5,,,,,,,5,,,,
,ZombiU,,,37,,2,,,,5,,,,,,2,,,,,
,Affordable Space Adventures,,,2,,2,,,,0,,,,,,,3,,,,
,Art of Balance,,,2,,3,,,,4,,,,,,5,,,,,
,Chasing Aurora,,,2,,0,,,,3,,,,,,5,,,,,
,Fast Racing Neo,,,2,,3,,,,4,,,,,,4,,,,,
,Runbow,,,2,,3,,,,4,,,,,,9,9,,,,
,Shantae and the Pirate's Curse,,,2,,3,,,,5,,,,,,,,,,,
,Sportsball,,,2,,0,,,,3,,,,,,4,,,,,
,Toki Tori 2+,,,2,,3,,,,4,,,,,,,,,,,
,EarthBound,,,3,20,3,,,,5,,,,,,,,,,,
,Super Metroid,,,3,20,3,,,,5,,,,,,,,,,,
,Assassin's Creed,,,38,,3,,36,44,3,,,,,,,,,,,
,Assassin's Creed II,,,38,,3,,47,50,5,,,,,,,,,,,
,Banjo-Kazooie: Nuts & Bolts,,,38,,4,,59,60,5,,,,,,2,,,,,
,L.O.G.'s Lost Challenges,,1,38,,4,,,,2,,,,,,,,,,,
,Batman: Arkham Asylum,,,38,,4,,47,47,5,,,,,,,,,,,
,Batman: Arkham City,,,38,,4,,65,70,5,,,,,,,,,,,
